date,bsi_man,bsi_all,man_pmi_us,ext_yoy,ppi_yoy,cpi_yoy,m2_yoy,cli_yoy_b,cli_yoy_i,cli_oecd_yoy_i
2021-02-28 0:00,81,76,60.8,9.2,2.1,1.1,10.7,6.3,6.0,2.6
2021-01-31 0:00,78,77,58.7,11.4,0.9,0.6,10.1,6.2,5.6,2.3
2020-12-31 0:00,74,75,60.5,12.4,0.2,0.5,9.8,5.9,5.4,2.1
2020-11-30 0:00,76,78,57.7,3.9,-0.3,0.6,9.7,5.6,5.4,1.9
2020-10-31 0:00,73,74,58.8,-3.8,-0.5,0.1,9.7,5,5.2,1.7
2020-09-30 0:00,63,64,55.7,7.3,-0.4,1,9.2,4.6,5.2,1.5
2020-08-31 0:00,66,66,55.6,-10.2,-0.5,0.7,9.5,4.1,4.9,1.1
2020-07-31 0:00,63,62,53.7,-7.1,-0.8,0.3,10,3.6,4.3,0.8
2020-06-30 0:00,57,56,52.2,-10.8,-1,0,9.9,3.2,3.7,0.4
2020-05-31 0:00,52,53,43.1,-23.8,-1.8,-0.3,9.9,2.9,3.1,0.2
2020-04-30 0:00,55,51,41.7,-25.6,-1.7,0.1,9.1,3.1,3.1,0.0
2020-03-31 0:00,57,54,49.7,-1.8,-0.5,1,8.4,3.2,3.3,-0.2
2020-02-29 0:00,70,65,50.3,3.6,0.7,1.1,8.2,3.8,2.9,-0.2
2020-01-31 0:00,79,75,51.1,-6.6,1.1,1.5,7.8,3.8,2.9,-0.3
2019-12-31 0:00,81,76,47.7,-5.3,0.7,0.7,7.9,3.5,2.7,-0.5
2019-11-30 0:00,80,74,48.2,-14.5,-0.1,0.2,7.7,3,2.0,-0.6
2019-10-31 0:00,77,73,48.3,-15,-0.7,0,7.5,2.4,1.5,-0.8
2019-09-30 0:00,76,72,48.3,-11.9,-0.8,-0.4,7.6,2,1.0,-0.9
2019-08-31 0:00,77,69,48.4,-14,-0.6,0,6.8,1.8,0.7,-1.0
2019-07-31 0:00,77,73,51,-11.1,-0.3,0.6,6.6,1.7,0.4,-1.1
2019-06-30 0:00,79,74,51.3,-13.8,0.1,0.7,6.7,1.9,0.5,-1.1
2019-05-31 0:00,80,73,52.2,-9.8,0.4,0.7,6.6,1.9,0.8,-1.1
2019-04-30 0:00,81,74,53.6,-2.1,0.6,0.6,6.6,1.9,1.2,-1.1
2019-03-31 0:00,79,73,55.3,-8.4,0.5,0.4,6.8,1.8,0.9,-1.1
2019-02-28 0:00,78,69,54.2,-11.3,0.1,0.5,6.2,1.7,1.7,-1.1
2019-01-31 0:00,80,69,55.7,-6.2,0.4,0.8,6.5,1.8,2.2,-1.2
2018-12-31 0:00,81,72,54.8,-1.7,0.9,1.3,6.8,1.8,2.3,-1.4
2018-11-30 0:00,83,74,58.7,3.6,1.5,2,6.8,2,2.5,-1.5
2018-10-31 0:00,80,73,58.3,22.5,2.1,2,6.8,2.3,2.8,-1.7
2018-09-30 0:00,81,75,59.5,-8.1,2.5,2.1,6.4,2.5,3.1,-1.7
2018-08-31 0:00,82,74,60.4,8.7,2.9,1.4,6.7,2.7,3.0,-1.8
2018-07-31 0:00,83,75,58,6.1,2.9,1.1,6.7,3.2,3.5,-1.9
2018-06-30 0:00,87,80,59.7,-0.4,2.5,1.5,6.1,3.3,3.7,-1.9
2018-05-31 0:00,87,81,58.9,12.8,2.1,1.5,5.9,3.5,4.1,-1.8
2018-04-30 0:00,84,79,58.6,-2,1.5,1.5,5.7,3.5,4.3,-1.7
2018-03-31 0:00,82,77,59.2,5.5,1.2,1.2,5.8,4,4.7,-1.6
2018-02-28 0:00,86,77,60.8,3.1,1.2,1.3,6.2,4.3,4.8,-1.3
2018-01-31 0:00,87,78,59.4,22.3,1.2,0.8,5.5,4.6,4.6,-1.1
2017-12-31 0:00,90,81,59.2,8.8,2.2,1.4,4.7,4.6,4.7,-0.7
2017-11-30 0:00,89,80,57.9,9.7,3,1.2,4.8,4.8,5.1,-0.4
2017-10-31 0:00,86,78,58.6,6.7,3.6,1.8,4.7,5,5.1,0.0
